POFOD;cost;response time:BRS_usage_scenario;ContinuousProcessingRateDegreeImpl:server1;ContinuousProcessingRateDegreeImpl:server2;ContinuousProcessingRateDegreeImpl:server3;ContinuousProcessingRateDegreeImpl:server4;ContinuousProcessingRateDegreeImpl:server5;ContinuousProcessingRateDegreeImpl:server6;ContinuousProcessingRateDegreeImpl:server7;ContinuousProcessingRateDegreeImpl:server8;ContinuousProcessingRateDegreeImpl:server9;AssembledComponentDegreeImpl:AC_Webserver;AllocationDegreeImpl:Allocation_AC_Webserver <WebServer>;AllocationDegreeImpl:Allocation_AC_Scheduler <Scheduler>;AllocationDegreeImpl:Allocation_AC_DB <DB>;AllocationDegreeImpl:Allocation_AC_ReportingEngine <ReportingEngine>;AllocationDegreeImpl:Allocation_AC_CacheInfo <CacheInfo>;AllocationDegreeImpl:Allocation_Assembly_GraphicalReporting <GraphicalReporting> <GraphicalReporting>;AllocationDegreeImpl:Allocation_Assembly_OnlineReporting <OnlineReporting> <OnlineReporting>;AllocationDegreeImpl:Allocation_AC_UserManagement <UserManagement> <UserManagement>;AllocationDegreeImpl:Allocation_Assembly_CoreReportingEngine2_gr <CoreReportingEngine2> <CoreReportingEngine2>;Util of server1 CPU;Util of server2 CPU;Util of server3 CPU;Util of server4 CPU;Util of server5 CPU;Util of server6 CPU;Util of server7 CPU;Util of server8 CPU;Util of server9 CPU;
0.00157052613925035;718.7105440905918;4.101758;10.0;10.0;10.0;10.0;10.0;10.0;10.0;10.0;10.0;WebServer;server1;server2;server3;server4;server4;server2;server2;server2;server4;0.0449836;0.206536;0.0743181;0.023532;0.0;0.0;0.0;0.0;0.0;
0.0015679085907179813;2742.6919754763;2.5008724000000004;18.784157052967835;18.945827541654925;8.686910387255068;13.481713348068597;11.738583139393594;18.357386633475453;11.104974157458503;17.06361877121185;11.484565036574562;WebServer;server8;server7;server7;server1;server2;server1;server2;server6;server9;0.0651349;0.0216937;0.0;0.0;0.0;0.0117654;0.107444;0.0263687;6.17781E-5;
0.0017536556595304509;1303.0203964972848;4.578729699999999;17.68789648558375;15.166513986124;13.787421132973627;5.710067282001406;12.98099663958654;15.641940006282443;11.435758526360127;5.462134036845672;13.787046123944279;WebServer3;server9;server6;server3;server9;server6;server8;server4;server6;server5;0.0;0.0;0.0539039;0.0490265;5.46427E-5;0.0509426;0.0;0.204976;0.0379666;
0.0017271514799257481;2245.448588024079;5.048909800000001;6.221395860218415;7.1701253945502526;18.422044671586214;15.741782797618;16.378578597034775;5.278378771254677;7.059981873833575;17.991993236026858;18.604567332532373;WebServer3;server3;server2;server8;server7;server1;server1;server1;server7;server9;0.245985;0.0627313;0.0227872;0.0;0.0;0.0;0.0452561;0.0413047;3.81221E-5;
0.0015364241827340308;1959.7260298614249;2.9394823000000003;17.55140222195728;16.64483422375121;9.84723854531929;9.266230860815568;7.551440100010126;5.911534920410891;9.203011598243346;18.86435610580943;13.452942540852643;WebServer2;server7;server8;server7;server2;server7;server1;server4;server1;server8;0.0761092;0.00622474;0.0;0.0302132;0.0;0.0;0.130845;0.0238883;0.0;
0.0017070436778113818;1585.8964016793168;3.4080057999999998;6.634463403688092;13.408005466269103;10.838230135536136;19.294229162345438;6.882516601533258;11.812713099023446;6.285886464172519;8.260651267453365;18.956246533742195;WebServer3;server8;server2;server2;server2;server3;server6;server1;server2;server9;0.0421983;0.112822;0.0120895;0.0;0.0;0.094799;0.0;0.0508346;3.74265E-5;
0.0016518749708051006;1947.154278118508;4.0143450000000005;7.993318974748028;16.970127112712063;19.0399892624619;11.33690850313892;18.76262518057999;15.636460330307225;6.882098412227053;9.17929803907511;17.6207178596475;WebServer2;server1;server1;server6;server6;server8;server7;server2;server5;server7;0.0975575;0.0164969;0.0;0.0;0.0115102;0.0541561;0.162803;0.0142742;0.0;
0.001536813971570905;1704.0338087229325;2.3673998000000003;19.88706238985452;16.421644815305303;12.009737339089941;7.9271051619607;16.326272457163306;17.93313255374532;12.02140671264116;15.527201482221036;7.579910789698941;WebServer2;server7;server2;server6;server7;server4;server2;server2;server5;server2;0.0;0.112688;0.0;0.0165297;0.0132292;0.0414443;0.0360671;0.0;0.0;
0.0018428817015481158;1709.9612053040773;4.952187100000001;19.042610541804454;17.595691790338886;5.184095641586705;11.223205079331379;6.079998804553332;11.674637726473428;10.273019456723954;11.134245806288689;11.285286064136953;WebServer3;server7;server9;server4;server8;server5;server3;server1;server8;server8;0.0147009;0.0;0.215962;0.0662189;0.0215499;0.0;0.0408681;0.0287624;0.0398621;
0.0015323991201705578;1654.2570277071043;2.8836964;11.718447072736481;9.65603257131307;18.185508019564423;16.17215162559878;5.349268375436973;17.116080092426586;8.156445153690063;13.41035719447459;9.307508262465124;WebServer2;server9;server1;server3;server6;server9;server1;server8;server6;server6;0.133958;0.0;0.0408688;0.0;0.0;0.0187132;0.0;0.0208771;0.0495276;
0.001740969858316177;1516.400192731623;3.5388743999999996;6.7822600572592044;15.117032262082555;10.145674174152173;7.919769170552396;13.99079230608407;15.435128514173403;15.846580625879984;10.054561488382147;12.853428058203201;WebServer3;server8;server8;server1;server9;server2;server5;server6;server6;server3;0.109579;0.00866757;6.9928E-5;0.0;0.0800407;0.0321302;0.0;0.0865127;0.00806078;
0.0016575781038234982;2011.9033668040067;3.2970147;16.825943932735672;18.343643985767294;14.426860985883343;10.974530156905866;11.677447678285711;17.255026060814814;12.937336356885574;18.16438361361325;5.853529660520689;WebServer3;server3;server1;server4;server1;server8;server4;server6;server9;server1;0.0329387;0.0;0.0291059;0.169753;0.0;0.0162248;0.0;0.00721339;0.0368952;
0.0016037756492979227;3087.436347223798;2.5525601;16.629149959964217;19.342302466728874;16.26410907781851;6.452804992120939;12.496070155627994;6.3730637444581975;19.4230424324305;12.648167752651407;19.486710190940624;WebServer;server1;server1;server2;server9;server2;server8;server7;server4;server4;0.054117;0.0451997;0.0;0.0335816;0.0;0.0;0.014415;0.0885428;0.0053172;
0.0016207770089121665;1358.8474917795988;2.8319728000000004;11.171424171617621;8.441970943145062;12.822158841778622;15.972621461542175;10.478325514792454;19.056529366528856;19.157476373866707;8.894249124267276;13.876380090926308;WebServer2;server1;server8;server4;server5;server1;server9;server9;server3;server3;0.0412654;0.0;0.0168998;0.0465311;0.00988834;0.0;0.0;0.050589;0.100881;
0.001635121860851907;1371.3090481257148;2.7967867;12.428854012473339;18.097730282617356;12.490710982472425;9.597701521380795;14.276300019861816;15.420694547847255;14.605571991103522;9.346865671322686;16.39743246925459;WebServer3;server8;server6;server1;server7;server5;server6;server6;server3;server1;0.0598548;0.0;0.0172912;0.0;0.0091782;0.119954;0.00709396;0.0449285;0.0;
0.0015416080078189953;1006.6723585372528;4.4301074;11.560587994238155;17.61220237616904;5.351226719129743;12.358385622141228;11.902636515778333;11.72204111282197;10.852407506184107;17.14231620664052;8.201661075281994;WebServer;server8;server9;server6;server6;server9;server9;server9;server6;server7;0.0;0.0;0.0;0.0;0.0;0.0906545;6.53562E-5;0.0262376;0.241437;
0.00157023539885226;1338.283669767383;2.6689981;7.370739593907804;8.163309285129593;17.699482067489548;8.250963089559562;10.575883466486722;14.453953766323844;10.85818212591988;14.198896615446554;5.2143400055253295;WebServer2;server5;server2;server3;server2;server3;server3;server8;server8;server7;0.0;0.0678102;0.112665;0.0;0.0311989;0.0;6.53408E-5;0.0349289;0.0;
0.001758783813952003;2052.7044158645244;3.5076512;8.839815162434697;7.016663798290364;18.75257588387967;12.217475863212808;7.181755312639192;19.75654666729261;18.017452427313557;11.574880731618013;11.132200171281728;WebServer;server2;server4;server5;server7;server1;server3;server4;server9;server2;0.0148226;0.0642243;0.0597179;0.0597423;0.103485;0.0;0.00575058;0.0;0.0194011;
0.0015721790498596233;2512.168876453935;2.4063016999999998;12.665306257534981;17.569019976457596;14.799894274155644;9.175469322604792;12.007367220674332;11.697640827986554;13.007482397345088;19.220250660601195;19.908851709210715;WebServer2;server7;server3;server9;server4;server5;server3;server5;server8;server3;0.0;0.0;0.10612;0.0112925;0.0342301;0.0;0.0253674;0.0112374;0.0373316;
0.0017550345698977843;1379.0798753384502;4.0981512;11.382492465175261;9.563226440570304;15.558016560437745;12.958276880923364;11.695953711996905;7.064476964354355;16.896273322292167;9.175565690021202;12.534306447485626;WebServer;server1;server8;server4;server2;server3;server6;server2;server5;server3;0.0395255;0.0401084;0.00846754;0.0573542;0.0184652;0.158505;0.0;0.0490338;0.0;
